French,English
partie,part
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
laisser,let
car,because
laisse,leash
chaque,each
parlé,speak
devrait,should
longtemps,long time
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
leurs,their
donné,given
corps,body
yeux,eyes
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
